timestep,elites,commoners,nature,wealth
0,0,100,100,0
1,0,95.9982,99.832,0.167165
2,0,92.1606,99.8396,0.310493
3,0,90.4805,99.8473,0.433223
4,0,90.5874,99.8473,0.540876
5,0,92.1606,99.8473,0.64672
6,0,93.9095,99.8473,0.754414
7,0,95.6813,99.8396,0.864136
8,0,97.4913,99.8396,0.975947
9,0,99.3299,99.8396,1.08978
10,0,101.207,99.832,1.20577
11,0,103.122,99.832,1.32391
12,0,105.067,99.8244,1.44431
13,0,107.051,99.8244,1.56697
14,0,109.073,99.8244,1.69191
15,0,111.133,99.8167,1.81922
16,0,113.231,99.8167,1.94892
17,0,115.369,99.8091,2.08114
18,0,117.553,99.8091,2.21598
19,0,119.776,99.8015,2.35321
20,0,122.044,99.8015,2.49306
21,0,124.35,99.7938,2.63554
22,0,126.702,99.7938,2.78064
23,0,129.1,99.7862,2.92861
24,0,131.544,99.7862,3.07944
25,0,134.034,99.7785,3.23313
26,0,136.569,99.7785,3.38969
27,0,139.151,99.7709,3.54912
28,0,141.778,99.7709,3.71164
29,0,144.466,99.7633,3.87703
30,0,147.2,99.7556,4.0457
31,0,149.98,99.7556,4.21753
32,0,152.821,99.748,4.3927
33,0,155.708,99.748,4.57122
34,0,158.656,99.7404,4.75308
35,0,161.649,99.7327,4.93827
36,0,164.704,99.7327,5.12681
37,0,167.82,99.7251,5.31917
38,0,170.997,99.7174,5.51487
39,0,174.235,99.7174,5.71439
40,0,177.534,99.7098,5.91772
41,0,180.895,99.7022,6.12488
42,0,184.316,99.6945,6.33585
43,0,187.799,99.6945,6.55064
44,0,191.342,99.6869,6.76973
45,0,194.962,99.6793,6.99263
46,0,198.643,99.6716,7.21983
47,0,202.401,99.6716,7.45133
48,0,206.234,99.664,7.68713
49,0,210.129,99.6563,7.92769
50,0,214.101,99.6487,8.17289
51,0,218.148,99.6411,8.42205
52,0,222.272,99.6334,8.67598
53,0,226.472,99.6258,8.93468
54,0,230.749,99.6182,9.19816
55,0,235.118,99.6182,9.46737
56,0,239.562,99.6105,9.74134
57,0,244.099,99.6029,10.0201
58,0,248.712,99.5953,10.3046
59,0,253.416,99.5876,10.5938
60,0,258.212,99.58,10.8888
61,0,263.1,99.5723,11.1895
62,0,268.079,99.5571,11.4959
63,0,273.15,99.5494,11.8081
64,0,278.313,99.5418,12.126
65,0,283.567,99.5342,12.4496
66,0,288.943,99.5265,12.7799
67,0,294.411,99.5189,13.116
68,0,299.971,99.5112,13.4587
69,0,305.653,99.496,13.8071
70,0,311.427,99.4883,14.1622
71,0,317.323,99.4807,14.524
72,0,323.31,99.4731,14.8925
73,0,329.42,99.4578,15.2686
74,0,335.651,99.4501,15.6514
75,0,342.005,99.4425,16.0418
76,0,348.482,99.4272,16.4389
77,0,355.08,99.4196,16.8437
78,0,361.801,99.4043,17.2561
79,0,368.643,99.3967,17.6761
80,0,375.608,99.3814,18.1038
81,0,382.695,99.3738,18.5391
82,0,389.935,99.3585,18.9839
83,0,397.297,99.3509,19.4364
84,0,404.812,99.3356,19.8966
85,0,412.48,99.3203,20.3663
86,0,420.27,99.3127,20.8455
87,0,428.212,99.2974,21.3323
88,0,436.307,99.2821,21.8287
89,0,444.555,99.2745,22.3347
90,0,452.956,99.2592,22.8502
91,0,461.51,99.2439,23.3752
92,0,470.246,99.2287,23.9098
93,0,479.136,99.2134,24.454
94,0,488.209,99.1981,25.0096
95,0,497.434,99.1829,25.5747
96,0,506.843,99.1676,26.1513
97,0,516.435,99.1523,26.7374
98,0,526.21,99.137,27.335
99,0,536.169,99.1218,27.9441
100,0,546.311,99.1065,28.5646
101,0,556.636,99.0912,29.1966
102,0,567.145,99.0683,29.84
103,0,577.898,99.053,30.4949
104,0,588.834,99.0378,31.1631
105,0,599.953,99.0148,31.8428
106,0,611.317,98.9996,32.5344
107,0,622.865,98.9767,33.2408
108,0,634.656,98.9614,33.9587
109,0,646.631,98.9385,34.6918
110,0,658.85,98.9232,35.4364
111,0,671.314,98.9003,36.1963
112,0,684.022,98.8774,36.9715
113,0,696.974,98.8545,37.7581
114,0,710.171,98.8392,38.56
115,0,723.612,98.8163,39.3771
116,0,737.298,98.7934,40.2096
117,0,751.228,98.7705,41.0573
118,0,765.402,98.7475,41.9203
119,0,779.882,98.7246,42.8024
120,0,794.606,98.7017,43.6997
121,0,809.636,98.6712,44.6123
122,0,824.971,98.6483,45.544
123,0,840.55,98.6254,46.491
124,0,856.435,98.5948,47.4571
125,0,872.626,98.5719,48.4385
126,0,889.122,98.5413,49.4389
127,0,905.923,98.5184,50.4585
128,0,923.03,98.4879,51.4971
129,0,940.364,98.4576,52.5464
130,0,958.001,98.4273,53.6146
131,0,976.001,98.397,54.7017
132,0,994.305,98.3742,55.8078
133,0,1012.97,98.3439,56.9367
134,0,1032,98.3061,58.0844
